suburb,state,postcode,year,month,listings,properties,vr
Orange,NSW,2800,2008,3,67,4906,0.0137
Orange,NSW,2800,2008,4,78,4918,0.0159
Orange,NSW,2800,2008,5,84,4930,0.0170
Orange,NSW,2800,2008,6,90,4942,0.0182
Orange,NSW,2800,2008,7,56,4955,0.0113
Orange,NSW,2800,2008,8,81,4967,0.0163
Orange,NSW,2800,2008,9,87,4979,0.0175
Orange,NSW,2800,2008,10,114,4991,0.0228
Orange,NSW,2800,2008,11,129,5003,0.0258
Orange,NSW,2800,2008,12,112,5016,0.0223
Orange,NSW,2800,2009,1,136,5028,0.0270
Orange,NSW,2800,2009,2,129,5040,0.0256
Orange,NSW,2800,2009,3,119,5052,0.0236
Orange,NSW,2800,2009,4,120,5064,0.0237
Orange,NSW,2800,2009,5,119,5077,0.0234
Orange,NSW,2800,2009,6,113,5089,0.0222
Orange,NSW,2800,2009,7,120,5101,0.0235
Orange,NSW,2800,2009,8,118,5113,0.0231
Orange,NSW,2800,2009,9,108,5125,0.0211
Orange,NSW,2800,2009,10,97,5138,0.0189
Orange,NSW,2800,2009,11,98,5150,0.0190
Orange,NSW,2800,2009,12,130,5162,0.0252
Orange,NSW,2800,2010,1,93,5174,0.0180
Orange,NSW,2800,2010,2,90,5186,0.0174
Orange,NSW,2800,2010,3,57,5199,0.0110
Orange,NSW,2800,2010,4,57,5211,0.0109
Orange,NSW,2800,2010,5,23,5223,0.0044
Orange,NSW,2800,2010,6,18,5235,0.0034
Orange,NSW,2800,2010,7,42,5247,0.0080
Orange,NSW,2800,2010,8,35,5260,0.0067
Orange,NSW,2800,2010,9,51,5272,0.0097
Orange,NSW,2800,2010,10,41,5284,0.0078
Orange,NSW,2800,2010,11,48,5296,0.0091
Orange,NSW,2800,2010,12,78,5308,0.0147
Orange,NSW,2800,2011,1,43,5321,0.0081
Orange,NSW,2800,2011,2,39,5333,0.0073
Orange,NSW,2800,2011,3,28,5345,0.0052
Orange,NSW,2800,2011,4,45,5357,0.0084
Orange,NSW,2800,2011,5,37,5369,0.0069
Orange,NSW,2800,2011,6,39,5382,0.0072
Orange,NSW,2800,2011,7,39,5394,0.0072
Orange,NSW,2800,2011,8,38,5406,0.0070
Orange,NSW,2800,2011,9,33,5418,0.0061
Orange,NSW,2800,2011,10,30,5431,0.0055
Orange,NSW,2800,2011,11,37,5443,0.0068
Orange,NSW,2800,2011,12,65,5455,0.0119
Orange,NSW,2800,2012,1,59,5467,0.0108
Orange,NSW,2800,2012,2,87,5480,0.0159
Orange,NSW,2800,2012,3,74,5492,0.0135
Orange,NSW,2800,2012,4,94,5504,0.0171
Orange,NSW,2800,2012,5,108,5517,0.0196
Orange,NSW,2800,2012,6,137,5529,0.0248
Orange,NSW,2800,2012,7,169,5541,0.0305
Orange,NSW,2800,2012,8,150,5553,0.0270
Orange,NSW,2800,2012,9,146,5566,0.0262
Orange,NSW,2800,2012,10,148,5578,0.0265
Orange,NSW,2800,2012,11,219,5590,0.0392
Orange,NSW,2800,2012,12,231,5603,0.0412
Orange,NSW,2800,2013,1,188,5615,0.0335
Orange,NSW,2800,2013,2,185,5627,0.0329
Orange,NSW,2800,2013,3,174,5639,0.0309
Orange,NSW,2800,2013,4,197,5652,0.0349
Orange,NSW,2800,2013,5,225,5664,0.0397
Orange,NSW,2800,2013,6,214,5676,0.0377
Orange,NSW,2800,2013,7,231,5689,0.0406
Orange,NSW,2800,2013,8,253,5701,0.0444
Orange,NSW,2800,2013,9,245,5713,0.0429
Orange,NSW,2800,2013,10,276,5725,0.0482
Orange,NSW,2800,2013,11,294,5738,0.0512
Orange,NSW,2800,2013,12,333,5750,0.0579
Orange,NSW,2800,2014,1,251,5762,0.0436
Orange,NSW,2800,2014,2,219,5775,0.0379
Orange,NSW,2800,2014,3,251,5787,0.0434
Orange,NSW,2800,2014,4,253,5799,0.0436
Orange,NSW,2800,2014,5,243,5811,0.0418
Orange,NSW,2800,2014,6,261,5824,0.0448
Orange,NSW,2800,2014,7,233,5836,0.0399
Orange,NSW,2800,2014,8,227,5848,0.0388
Orange,NSW,2800,2014,9,222,5860,0.0379
Orange,NSW,2800,2014,10,224,5873,0.0381
Orange,NSW,2800,2014,11,219,5885,0.0372
Orange,NSW,2800,2014,12,211,5897,0.0358
Orange,NSW,2800,2015,1,170,5910,0.0288
Orange,NSW,2800,2015,2,153,5922,0.0258
Orange,NSW,2800,2015,3,179,5934,0.0302
Orange,NSW,2800,2015,4,197,5946,0.0331
Orange,NSW,2800,2015,5,200,5959,0.0336
Orange,NSW,2800,2015,6,194,5971,0.0325
Orange,NSW,2800,2015,7,206,5983,0.0344
Orange,NSW,2800,2015,8,162,5996,0.0270
Orange,NSW,2800,2015,9,157,6008,0.0261
Orange,NSW,2800,2015,10,157,6020,0.0261
Orange,NSW,2800,2015,11,176,6032,0.0292
Orange,NSW,2800,2015,12,197,6045,0.0326
Orange,NSW,2800,2016,1,167,6057,0.0276
Orange,NSW,2800,2016,2,142,6069,0.0234
Orange,NSW,2800,2016,3,149,6082,0.0245
Orange,NSW,2800,2016,4,178,6094,0.0292
Orange,NSW,2800,2016,5,163,6106,0.0267
Orange,NSW,2800,2016,6,140,6118,0.0229
Orange,NSW,2800,2016,7,136,6131,0.0222
Orange,NSW,2800,2016,8,126,6143,0.0205
Orange,NSW,2800,2016,9,113,6140,0.0184
Orange,NSW,2800,2016,10,101,6136,0.0165
Orange,NSW,2800,2016,11,109,6133,0.0178
Orange,NSW,2800,2016,12,139,6130,0.0227
Orange,NSW,2800,2017,1,128,6126,0.0209
Orange,NSW,2800,2017,2,110,6123,0.0180
Orange,NSW,2800,2017,3,100,6120,0.0163
Orange,NSW,2800,2017,4,116,6116,0.0190
Orange,NSW,2800,2017,5,112,6113,0.0183
Orange,NSW,2800,2017,6,130,6109,0.0213
Orange,NSW,2800,2017,7,118,6106,0.0193
Orange,NSW,2800,2017,8,89,6103,0.0146
Orange,NSW,2800,2017,9,108,6099,0.0177
Orange,NSW,2800,2017,10,99,6096,0.0162
Orange,NSW,2800,2017,11,93,6093,0.0153
Orange,NSW,2800,2017,12,121,6089,0.0199
Orange,NSW,2800,2018,1,105,6086,0.0173
Orange,NSW,2800,2018,2,95,6083,0.0156
Orange,NSW,2800,2018,3,77,6079,0.0127
Orange,NSW,2800,2018,4,78,6076,0.0128
Orange,NSW,2800,2018,5,82,6073,0.0135
Orange,NSW,2800,2018,6,73,6069,0.0120
Orange,NSW,2800,2018,7,74,6066,0.0122
Orange,NSW,2800,2018,8,89,6063,0.0147
Orange,NSW,2800,2018,9,75,6059,0.0124
Orange,NSW,2800,2018,10,86,6056,0.0142
Orange,NSW,2800,2018,11,101,6053,0.0167
Orange,NSW,2800,2018,12,124,6049,0.0205
Orange,NSW,2800,2019,1,83,6046,0.0137
Orange,NSW,2800,2019,2,77,6043,0.0127
Orange,NSW,2800,2019,3,82,6039,0.0136
Orange,NSW,2800,2019,4,116,6036,0.0192
Orange,NSW,2800,2019,5,114,6032,0.0189
Orange,NSW,2800,2019,6,108,6029,0.0179
Orange,NSW,2800,2019,7,110,6026,0.0183
Orange,NSW,2800,2019,8,156,6022,0.0259
Orange,NSW,2800,2019,9,150,6019,0.0249
Orange,NSW,2800,2019,10,142,6016,0.0236
Orange,NSW,2800,2019,11,140,6012,0.0233
Orange,NSW,2800,2019,12,166,6009,0.0276
Orange,NSW,2800,2020,1,135,6006,0.0225
Orange,NSW,2800,2020,2,112,6002,0.0187
Orange,NSW,2800,2020,3,103,5999,0.0172
Orange,NSW,2800,2020,4,109,5996,0.0182
Orange,NSW,2800,2020,5,111,5992,0.0185
Orange,NSW,2800,2020,6,80,5989,0.0134
Orange,NSW,2800,2020,7,24,5986,0.0040
Orange,NSW,2800,2020,8,25,5982,0.0042
Orange,NSW,2800,2020,9,9,5979,0.0015
Orange,NSW,2800,2020,10,12,5975,0.0020
Orange,NSW,2800,2020,11,15,5972,0.0025
Orange,NSW,2800,2020,12,29,5969,0.0049
Orange,NSW,2800,2021,1,38,5965,0.0064
Orange,NSW,2800,2021,2,34,5962,0.0057
Orange,NSW,2800,2021,3,41,5959,0.0069
Orange,NSW,2800,2021,4,15,5955,0.0025
Orange,NSW,2800,2021,5,12,5952,0.0020
Orange,NSW,2800,2021,6,26,5949,0.0044
Orange,NSW,2800,2021,7,22,5945,0.0037
Orange,NSW,2800,2021,8,19,5942,0.0032
Orange,NSW,2800,2021,9,12,5939,0.0020
Orange,NSW,2800,2021,10,16,5935,0.0027
Orange,NSW,2800,2021,11,25,5932,0.0042
Orange,NSW,2800,2021,12,32,5929,0.0054
Orange,NSW,2800,2022,1,24,5925,0.0041
Orange,NSW,2800,2022,2,42,5922,0.0071
Orange,NSW,2800,2022,3,43,5919,0.0073
Orange,NSW,2800,2022,4,78,5915,0.0132
Orange,NSW,2800,2022,5,72,5912,0.0122
Orange,NSW,2800,2022,6,74,5909,0.0125
Orange,NSW,2800,2022,7,59,5905,0.0100
Orange,NSW,2800,2022,8,79,5902,0.0134
Orange,NSW,2800,2022,9,84,5898,0.0142
Orange,NSW,2800,2022,10,99,5895,0.0168
Orange,NSW,2800,2022,11,114,5892,0.0193
Orange,NSW,2800,2022,12,152,5888,0.0258
Orange,NSW,2800,2023,1,141,5885,0.0240
Orange,NSW,2800,2023,2,140,5882,0.0238
Orange,NSW,2800,2023,3,122,5878,0.0208
Orange,NSW,2800,2023,4,104,5875,0.0177
Orange,NSW,2800,2023,5,96,5872,0.0163
Orange,NSW,2800,2023,6,94,5868,0.0160
Orange,NSW,2800,2023,7,103,5865,0.0176
Orange,NSW,2800,2023,8,84,5862,0.0143
Orange,NSW,2800,2023,9,90,5858,0.0154
Orange,NSW,2800,2023,10,97,5855,0.0166
Orange,NSW,2800,2023,11,97,5852,0.0166
Orange,NSW,2800,2023,12,117,5848,0.0200
Orange,NSW,2800,2024,1,91,5845,0.0156
Orange,NSW,2800,2024,2,96,5841,0.0164
Orange,NSW,2800,2024,3,87,5838,0.0149
Orange,NSW,2800,2024,4,95,5835,0.0163
Orange,NSW,2800,2024,5,89,5831,0.0153
Orange,NSW,2800,2024,6,89,5828,0.0153
Orange,NSW,2800,2024,7,89,5825,0.0153
Orange,NSW,2800,2024,8,84,5821,0.0144
Orange,NSW,2800,2024,9,67,5818,0.0115
Orange,NSW,2800,2024,10,73,5815,0.0126
Orange,NSW,2800,2024,11,88,5811,0.0151
Orange,NSW,2800,2024,12,94,5808,0.0162
Orange,NSW,2800,2025,1,73,5805,0.0126
Orange,NSW,2800,2025,2,79,5801,0.0136
Orange,NSW,2800,2025,3,54,5798,0.0093
Orange,NSW,2800,2025,4,51,5795,0.0088
Orange,NSW,2800,2025,5,64,5791,0.0111
Orange,NSW,2800,2025,6,55,5788,0.0095
Orange,NSW,2800,2025,7,65,5785,0.0112
Orange,NSW,2800,2025,8,49,5781,0.0085
Orange,NSW,2800,2025,9,54,5778,0.0093
Orange,NSW,2800,2025,10,48,5775,0.0083
Orange,NSW,2800,2025,11,45,5771,0.0078
Orange,NSW,2800,2025,12,55,5768,0.0095
Orange,NSW,2800,2026,1,53,5764,0.0092
Orange,NSW,2800,2026,2,60,5761,0.0104
Orange,NSW,2800,2026,3,45,5758,0.0078
Orange,NSW,2800,2026,4,63,5754,0.0109
Orange,NSW,2800,2026,5,58,5751,0.0101
Orange,NSW,2800,2026,6,37,5748,0.0064
Orange,NSW,2800,2026,7,38,5744,0.0066
Box Hill,NSW,2765,2005,1,21,1049,0.0200
Box Hill,NSW,2765,2005,2,20,1051,0.0190
Box Hill,NSW,2765,2005,3,25,1052,0.0238
Box Hill,NSW,2765,2005,4,11,1053,0.0104
Box Hill,NSW,2765,2005,5,24,1054,0.0228
Box Hill,NSW,2765,2005,6,28,1055,0.0265
Box Hill,NSW,2765,2005,7,14,1056,0.0133
Box Hill,NSW,2765,2005,8,17,1057,0.0161
Box Hill,NSW,2765,2005,9,38,1059,0.0359
Box Hill,NSW,2765,2005,10,29,1060,0.0274
Box Hill,NSW,2765,2005,11,25,1061,0.0236
Box Hill,NSW,2765,2005,12,20,1062,0.0188
Box Hill,NSW,2765,2006,1,18,1063,0.0169
Box Hill,NSW,2765,2006,2,24,1064,0.0226
Box Hill,NSW,2765,2006,3,29,1065,0.0272
Box Hill,NSW,2765,2006,4,10,1066,0.0094
Box Hill,NSW,2765,2006,5,21,1068,0.0197
Box Hill,NSW,2765,2006,6,21,1069,0.0196
Box Hill,NSW,2765,2006,7,18,1070,0.0168
Box Hill,NSW,2765,2006,8,26,1071,0.0243
Box Hill,NSW,2765,2006,9,17,1074,0.0158
Box Hill,NSW,2765,2006,10,14,1077,0.0130
Box Hill,NSW,2765,2006,11,24,1080,0.0222
Box Hill,NSW,2765,2006,12,17,1082,0.0157
Box Hill,NSW,2765,2007,1,21,1085,0.0194
Box Hill,NSW,2765,2007,2,17,1088,0.0156
Box Hill,NSW,2765,2007,3,24,1091,0.0220
Box Hill,NSW,2765,2007,4,21,1094,0.0192
Box Hill,NSW,2765,2007,5,25,1097,0.0228
Box Hill,NSW,2765,2007,6,15,1099,0.0136
Box Hill,NSW,2765,2007,7,9,1102,0.0082
Box Hill,NSW,2765,2007,8,22,1105,0.0199
Box Hill,NSW,2765,2007,9,19,1108,0.0171
Box Hill,NSW,2765,2007,10,16,1111,0.0144
Box Hill,NSW,2765,2007,11,18,1114,0.0162
Box Hill,NSW,2765,2007,12,11,1116,0.0099
Box Hill,NSW,2765,2008,1,12,1119,0.0107
Box Hill,NSW,2765,2008,2,11,1122,0.0098
Box Hill,NSW,2765,2008,3,19,1125,0.0169
Box Hill,NSW,2765,2008,4,20,1128,0.0177
Box Hill,NSW,2765,2008,5,22,1131,0.0195
Box Hill,NSW,2765,2008,6,19,1133,0.0168
Box Hill,NSW,2765,2008,7,16,1136,0.0141
Box Hill,NSW,2765,2008,8,24,1139,0.0211
Box Hill,NSW,2765,2008,9,17,1142,0.0149
Box Hill,NSW,2765,2008,10,16,1145,0.0140
Box Hill,NSW,2765,2008,11,18,1148,0.0157
Box Hill,NSW,2765,2008,12,16,1150,0.0139
Box Hill,NSW,2765,2009,1,21,1153,0.0182
Box Hill,NSW,2765,2009,2,18,1156,0.0156
Box Hill,NSW,2765,2009,3,19,1159,0.0164
Box Hill,NSW,2765,2009,4,13,1162,0.0112
Box Hill,NSW,2765,2009,5,21,1165,0.0180
Box Hill,NSW,2765,2009,6,18,1167,0.0154
Box Hill,NSW,2765,2009,8,11,1173,0.0094
Box Hill,NSW,2765,2009,9,10,1176,0.0085
Box Hill,NSW,2765,2009,10,9,1179,0.0076
Box Hill,NSW,2765,2009,11,11,1182,0.0093
Box Hill,NSW,2765,2009,12,11,1184,0.0093
Box Hill,NSW,2765,2010,1,14,1187,0.0118
Box Hill,NSW,2765,2010,2,12,1190,0.0101
Box Hill,NSW,2765,2010,3,8,1193,0.0067
Box Hill,NSW,2765,2010,4,6,1196,0.0050
Box Hill,NSW,2765,2010,5,5,1199,0.0042
Box Hill,NSW,2765,2010,6,12,1201,0.0100
Box Hill,NSW,2765,2010,7,7,1204,0.0058
Box Hill,NSW,2765,2010,8,9,1207,0.0075
Box Hill,NSW,2765,2010,9,18,1210,0.0149
Box Hill,NSW,2765,2010,10,12,1213,0.0099
Box Hill,NSW,2765,2010,11,11,1216,0.0090
Box Hill,NSW,2765,2010,12,14,1218,0.0115
Box Hill,NSW,2765,2011,1,12,1221,0.0098
Box Hill,NSW,2765,2011,2,11,1224,0.0090
Box Hill,NSW,2765,2011,3,11,1227,0.0090
Box Hill,NSW,2765,2011,4,13,1230,0.0106
Box Hill,NSW,2765,2011,5,20,1233,0.0162
Box Hill,NSW,2765,2011,6,24,1235,0.0194
Box Hill,NSW,2765,2011,7,24,1238,0.0194
Box Hill,NSW,2765,2011,8,22,1241,0.0177
Box Hill,NSW,2765,2011,9,19,1245,0.0153
Box Hill,NSW,2765,2011,10,23,1248,0.0184
Box Hill,NSW,2765,2011,11,20,1252,0.0160
Box Hill,NSW,2765,2011,12,27,1256,0.0215
Box Hill,NSW,2765,2012,1,21,1260,0.0167
Box Hill,NSW,2765,2012,2,24,1263,0.0190
Box Hill,NSW,2765,2012,3,20,1267,0.0158
Box Hill,NSW,2765,2012,4,25,1271,0.0197
Box Hill,NSW,2765,2012,5,25,1275,0.0196
Box Hill,NSW,2765,2012,6,25,1278,0.0196
Box Hill,NSW,2765,2012,7,25,1282,0.0195
Box Hill,NSW,2765,2012,8,18,1286,0.0140
Box Hill,NSW,2765,2012,9,16,1290,0.0124
Box Hill,NSW,2765,2012,10,22,1293,0.0170
Box Hill,NSW,2765,2012,11,26,1297,0.0200
Box Hill,NSW,2765,2012,12,22,1301,0.0169
Box Hill,NSW,2765,2013,1,17,1304,0.0130
Box Hill,NSW,2765,2013,2,18,1308,0.0138
Box Hill,NSW,2765,2013,3,18,1312,0.0137
Box Hill,NSW,2765,2013,4,20,1316,0.0152
Box Hill,NSW,2765,2013,5,22,1319,0.0167
Box Hill,NSW,2765,2013,6,23,1323,0.0174
Box Hill,NSW,2765,2013,7,26,1327,0.0196
Box Hill,NSW,2765,2013,8,22,1331,0.0165
Box Hill,NSW,2765,2013,9,24,1334,0.0180
Box Hill,NSW,2765,2013,10,21,1338,0.0157
Box Hill,NSW,2765,2013,11,16,1342,0.0119
Box Hill,NSW,2765,2013,12,24,1346,0.0178
Box Hill,NSW,2765,2014,1,21,1349,0.0156
Box Hill,NSW,2765,2014,2,18,1353,0.0133
Box Hill,NSW,2765,2014,3,18,1357,0.0133
Box Hill,NSW,2765,2014,4,17,1360,0.0125
Box Hill,NSW,2765,2014,5,28,1364,0.0205
Box Hill,NSW,2765,2014,6,22,1368,0.0161
Box Hill,NSW,2765,2014,7,21,1372,0.0153
Box Hill,NSW,2765,2014,8,17,1375,0.0124
Box Hill,NSW,2765,2014,9,18,1379,0.0131
Box Hill,NSW,2765,2014,10,25,1383,0.0181
Box Hill,NSW,2765,2014,11,26,1387,0.0187
Box Hill,NSW,2765,2014,12,39,1390,0.0281
Box Hill,NSW,2765,2015,1,34,1394,0.0244
Box Hill,NSW,2765,2015,2,35,1398,0.0250
Box Hill,NSW,2765,2015,3,31,1402,0.0221
Box Hill,NSW,2765,2015,4,22,1405,0.0157
Box Hill,NSW,2765,2015,5,29,1409,0.0206
Box Hill,NSW,2765,2015,6,29,1413,0.0205
Box Hill,NSW,2765,2015,7,23,1416,0.0162
Box Hill,NSW,2765,2015,8,42,1420,0.0296
Box Hill,NSW,2765,2015,9,47,1424,0.0330
Box Hill,NSW,2765,2015,10,48,1428,0.0336
Box Hill,NSW,2765,2015,11,45,1431,0.0314
Box Hill,NSW,2765,2015,12,41,1435,0.0286
Box Hill,NSW,2765,2016,1,46,1439,0.0320
Box Hill,NSW,2765,2016,2,43,1443,0.0298
Box Hill,NSW,2765,2016,3,50,1446,0.0346
Box Hill,NSW,2765,2016,4,49,1450,0.0338
Box Hill,NSW,2765,2016,5,50,1454,0.0344
Box Hill,NSW,2765,2016,6,51,1458,0.0350
Box Hill,NSW,2765,2016,7,65,1461,0.0445
Box Hill,NSW,2765,2016,8,57,1465,0.0389
Box Hill,NSW,2765,2016,9,46,1497,0.0307
Box Hill,NSW,2765,2016,10,58,1529,0.0379
Box Hill,NSW,2765,2016,11,64,1561,0.0410
Box Hill,NSW,2765,2016,12,67,1594,0.0420
Box Hill,NSW,2765,2017,1,65,1626,0.0400
Box Hill,NSW,2765,2017,2,73,1658,0.0440
Box Hill,NSW,2765,2017,3,62,1690,0.0367
Box Hill,NSW,2765,2017,4,70,1722,0.0407
Box Hill,NSW,2765,2017,5,71,1754,0.0405
Box Hill,NSW,2765,2017,6,98,1786,0.0549
Box Hill,NSW,2765,2017,7,95,1818,0.0523
Box Hill,NSW,2765,2017,8,69,1851,0.0373
Box Hill,NSW,2765,2017,9,63,1883,0.0335
Box Hill,NSW,2765,2017,10,59,1915,0.0308
Box Hill,NSW,2765,2017,11,69,1947,0.0354
Box Hill,NSW,2765,2017,12,98,1979,0.0495
Box Hill,NSW,2765,2018,1,83,2011,0.0413
Box Hill,NSW,2765,2018,2,86,2043,0.0421
Box Hill,NSW,2765,2018,3,87,2076,0.0419
Box Hill,NSW,2765,2018,4,94,2108,0.0446
Box Hill,NSW,2765,2018,5,86,2140,0.0402
Box Hill,NSW,2765,2018,6,107,2172,0.0493
Box Hill,NSW,2765,2018,7,131,2204,0.0594
Box Hill,NSW,2765,2018,8,115,2236,0.0514
Box Hill,NSW,2765,2018,9,109,2268,0.0481
Box Hill,NSW,2765,2018,10,117,2300,0.0509
Box Hill,NSW,2765,2018,11,142,2333,0.0609
Box Hill,NSW,2765,2018,12,165,2365,0.0698
Box Hill,NSW,2765,2019,1,170,2397,0.0709
Box Hill,NSW,2765,2019,2,150,2429,0.0618
Box Hill,NSW,2765,2019,3,143,2461,0.0581
Box Hill,NSW,2765,2019,4,143,2493,0.0574
Box Hill,NSW,2765,2019,5,150,2525,0.0594
Box Hill,NSW,2765,2019,6,182,2558,0.0711
Box Hill,NSW,2765,2019,7,168,2590,0.0649
Box Hill,NSW,2765,2019,8,179,2622,0.0683
Box Hill,NSW,2765,2019,9,180,2654,0.0678
Box Hill,NSW,2765,2019,10,157,2686,0.0585
Box Hill,NSW,2765,2019,11,156,2718,0.0574
Box Hill,NSW,2765,2019,12,187,2750,0.0680
Box Hill,NSW,2765,2020,1,160,2782,0.0575
Box Hill,NSW,2765,2020,2,124,2815,0.0440
Box Hill,NSW,2765,2020,3,123,2847,0.0432
Box Hill,NSW,2765,2020,4,124,2879,0.0431
Box Hill,NSW,2765,2020,5,128,2911,0.0440
Box Hill,NSW,2765,2020,6,108,2943,0.0367
Box Hill,NSW,2765,2020,7,63,2975,0.0212
Box Hill,NSW,2765,2020,8,75,3007,0.0249
Box Hill,NSW,2765,2020,9,70,3040,0.0230
Box Hill,NSW,2765,2020,10,76,3072,0.0247
Box Hill,NSW,2765,2020,11,102,3104,0.0329
Box Hill,NSW,2765,2020,12,97,3136,0.0309
Box Hill,NSW,2765,2021,1,89,3168,0.0281
Box Hill,NSW,2765,2021,2,82,3200,0.0256
Box Hill,NSW,2765,2021,3,90,3232,0.0278
Box Hill,NSW,2765,2021,4,90,3264,0.0276
Box Hill,NSW,2765,2021,5,92,3297,0.0279
Box Hill,NSW,2765,2021,6,91,3329,0.0273
Box Hill,NSW,2765,2021,7,77,3361,0.0229
Box Hill,NSW,2765,2021,8,75,3393,0.0221
Box Hill,NSW,2765,2021,9,89,3425,0.0260
Box Hill,NSW,2765,2021,10,73,3457,0.0211
Box Hill,NSW,2765,2021,11,83,3489,0.0238
Box Hill,NSW,2765,2021,12,100,3522,0.0284
Box Hill,NSW,2765,2022,1,78,3554,0.0219
Box Hill,NSW,2765,2022,2,111,3586,0.0310
Box Hill,NSW,2765,2022,3,98,3618,0.0271
Box Hill,NSW,2765,2022,4,90,3650,0.0247
Box Hill,NSW,2765,2022,5,66,3682,0.0179
Box Hill,NSW,2765,2022,6,115,3714,0.0310
Box Hill,NSW,2765,2022,7,116,3746,0.0310
Box Hill,NSW,2765,2022,8,118,3779,0.0312
Box Hill,NSW,2765,2022,9,142,3811,0.0373
Box Hill,NSW,2765,2022,10,130,3843,0.0338
Box Hill,NSW,2765,2022,11,162,3875,0.0418
Box Hill,NSW,2765,2022,12,224,3907,0.0573
Box Hill,NSW,2765,2023,1,194,3939,0.0493
Box Hill,NSW,2765,2023,2,198,3971,0.0499
Box Hill,NSW,2765,2023,3,175,4004,0.0437
Box Hill,NSW,2765,2023,4,143,4036,0.0354
Box Hill,NSW,2765,2023,5,148,4068,0.0364
Box Hill,NSW,2765,2023,6,139,4100,0.0339
Box Hill,NSW,2765,2023,7,141,4132,0.0341
Box Hill,NSW,2765,2023,8,150,4164,0.0360
Box Hill,NSW,2765,2023,9,165,4196,0.0393
Box Hill,NSW,2765,2023,10,157,4228,0.0371
Box Hill,NSW,2765,2023,11,182,4261,0.0427
Box Hill,NSW,2765,2023,12,214,4293,0.0498
Box Hill,NSW,2765,2024,1,174,4325,0.0402
Box Hill,NSW,2765,2024,2,176,4357,0.0404
Box Hill,NSW,2765,2024,3,166,4389,0.0378
Box Hill,NSW,2765,2024,4,157,4421,0.0355
Box Hill,NSW,2765,2024,5,150,4453,0.0337
Box Hill,NSW,2765,2024,6,203,4486,0.0453
Box Hill,NSW,2765,2024,7,190,4518,0.0421
Box Hill,NSW,2765,2024,8,239,4550,0.0525
Box Hill,NSW,2765,2024,9,217,4582,0.0474
Box Hill,NSW,2765,2024,10,216,4614,0.0468
Box Hill,NSW,2765,2024,11,219,4646,0.0471
Box Hill,NSW,2765,2024,12,240,4678,0.0513
Box Hill,NSW,2765,2025,1,210,4710,0.0446
Box Hill,NSW,2765,2025,2,224,4743,0.0472
Box Hill,NSW,2765,2025,3,214,4775,0.0448
Box Hill,NSW,2765,2025,4,179,4807,0.0372
Box Hill,NSW,2765,2025,5,158,4839,0.0327
Box Hill,NSW,2765,2025,6,157,4871,0.0322
Box Hill,NSW,2765,2025,7,174,4903,0.0355
Box Hill,NSW,2765,2025,8,148,4935,0.0300
Box Hill,NSW,2765,2025,9,165,4968,0.0332
Box Hill,NSW,2765,2025,10,156,5000,0.0312
Box Hill,NSW,2765,2025,11,161,5032,0.0320
Box Hill,NSW,2765,2025,12,224,5064,0.0442
Box Hill,NSW,2765,2026,1,206,5096,0.0404
Box Hill,NSW,2765,2026,2,175,5128,0.0341
Box Hill,NSW,2765,2026,3,140,5160,0.0271
Box Hill,NSW,2765,2026,4,180,5192,0.0347
Box Hill,NSW,2765,2026,5,196,5225,0.0375
Box Hill,NSW,2765,2026,6,229,5257,0.0436
